Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 40,     Conv, 384, 32, 32, 96, 32, 32, 384, ROW_L, 0, 0, 448, 1056, 3, 1, 3,,,,,,,,, L2, DMA, 960, 960, 384, 369024, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 96, 116864, 34, 24fcde, ,,,,,,,, L2, DMA, 448, 385, 96, 43008, 0, 5a180, ,,,,,,,, 
 41,     Conv, 96, 32, 32, 576, 32, 32, 96, ROW_L, 0, 0, 1056, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 96, 104448, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 576, 700544, 34, 26c55e, ,,,,,,,, L2, DMA, 192, 97, 576, 110592, 0, 19800, ,,,,,,,, 
 42,     Conv, 576, 32, 32, 576, 32, 32, 1,  COL, 0, 0, 1123, 1123, 4, 1, 4,,,,,,,,, L2, DMA, 1122, 1122, 288, 323200, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 576, 700544, 34, 26c55e, ,,,,,,,, L2, DMA, 10, 10, 6912, 69120, 0, 4ee80, ,,,,,,,, 
 43,     Conv, 576, 32, 32, 96, 32, 32, 576, ROW_L, 0, 0, 256, 1056, 5, 1, 5,,,,,,,,, L2, DMA, 576, 576, 576, 332544, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 96, 116864, 34, 26c55e, ,,,,,,,, L2, DMA, 704, 577, 96, 67584, 0, 51300, ,,,,,,,, 
 44,  EltWise, 192, 32, 32, 96, 32, 32, 192,  COL, 0, 0, 1055, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 96, 233472, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 96, 116864, 34, 24fcde, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45,     Conv, 96, 32, 32, 576, 32, 32, 96, ROW_L, 0, 0, 1056, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 96, 104448, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 576, 700544, 34, 26c55e, ,,,,,,,, L2, DMA, 192, 97, 576, 110592, 0, 19800, ,,,,,,,, 
 46,     Conv, 576, 32, 32, 576, 32, 32, 1,  COL, 0, 0, 1123, 1123, 4, 1, 4,,,,,,,,, L2, DMA, 1122, 1122, 288, 323200, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 576, 700544, 34, 26c55e, ,,,,,,,, L2, DMA, 10, 10, 6912, 69120, 0, 4ee80, ,,,,,,,, 
 47,     Conv, 576, 32, 32, 96, 32, 32, 576, ROW_L, 0, 0, 256, 1056, 5, 1, 5,,,,,,,,, L2, DMA, 576, 576, 576, 332544, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 96, 116864, 34, 26c55e, ,,,,,,,, L2, DMA, 704, 577, 96, 67584, 0, 51300, ,,,,,,,, 
 48,  EltWise, 192, 32, 32, 96, 32, 32, 192,  COL, 0, 0, 1055, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 96, 233472, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 96, 116864, 34, 24fcde, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 49,     Conv, 96, 32, 32, 576, 32, 32, 96, ROW_L, 0, 0, 1056, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 96, 104448, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 576, 700544, 34, 24fcde, ,,,,,,,, L2, DMA, 192, 97, 576, 110592, 0, 19800, ,,,,,,,, 
